Health Category,Gender,Exercise Recommendation,Diet Recommendation
Extremely Weak,Female,"Start with light exercises such as walking or stretching. Focus on building strength gradually.","Consume nutrient-rich foods such as fruits, vegetables, lean protein, and whole grains. Avoid processed foods and sugary drinks."
Extremely Weak,Male,"Start with light exercises such as walking or stretching. Focus on building strength gradually.","Consume nutrient-rich foods such as fruits, vegetables, lean protein, and whole grains. Avoid processed foods and sugary drinks."
Weak,Female,"Incorporate moderate-intensity exercises such as jogging, cycling, or swimming. Also, include strength training exercises.","Maintain a balanced diet with adequate protein, carbohydrates, and healthy fats. Avoid excessive calorie intake."
Weak,Male,"Incorporate moderate-intensity exercises such as jogging, cycling, or swimming. Also, include strength training exercises.","Maintain a balanced diet with adequate protein, carbohydrates, and healthy fats. Avoid excessive calorie intake."
Normal,Female,"Engage in regular physical activities such as brisk walking, running, or gym workouts. Mix cardio and strength training exercises.","Follow a balanced diet with a variety of nutrients. Focus on portion control and mindful eating."
Normal,Male,"Engage in regular physical activities such as brisk walking, running, or gym workouts. Mix cardio and strength training exercises.","Follow a balanced diet with a variety of nutrients. Focus on portion control and mindful eating."
Overweight,Female,"Focus on calorie-burning exercises such as running, cycling, or high-intensity interval training (HIIT). Incorporate strength training for muscle building.","Adopt a balanced diet with a slight calorie deficit. Include plenty of fruits, vegetables, lean protein, and whole grains. Limit intake of high-calorie foods and beverages."
Overweight,Male,"Focus on calorie-burning exercises such as running, cycling, or high-intensity interval training (HIIT). Incorporate strength training for muscle building.","Adopt a balanced diet with a slight calorie deficit. Include plenty of fruits, vegetables, lean protein, and whole grains. Limit intake of high-calorie foods and beverages."
Obesity,Female,"Consult with a fitness professional for personalized exercise plans. Emphasize on burning calories through various cardio and strength training exercises.","Follow a structured meal plan focusing on portion control, calorie reduction, and nutrient-dense foods. Consider consulting with a dietitian for personalized dietary advice."
Obesity,Male,"Consult with a fitness professional for personalized exercise plans. Emphasize on burning calories through various cardio and strength training exercises.","Follow a structured meal plan focusing on portion control, calorie reduction, and nutrient-dense foods. Consider consulting with a dietitian for personalized dietary advice."
Extreme Obesity,Female,"Seek guidance from healthcare professionals for safe and effective exercise programs. Gradually increase physical activity levels while monitoring health parameters.","Work closely with a healthcare provider or dietitian to develop a comprehensive weight management plan. Emphasize on long-term lifestyle changes and behavior modifications."
Extreme Obesity,Male,"Seek guidance from healthcare professionals for safe and effective exercise programs. Gradually increase physical activity levels while monitoring health parameters.","Work closely with a healthcare provider or dietitian to develop a comprehensive weight management plan. Emphasize on long-term lifestyle changes and behavior modifications."
